catalogNumber,large JPG,thumbnail,webview
LSU00135648,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135648_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135648_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135648_5_WR.JPG
LSU00135649,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135649_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135649_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135649_5_WR.JPG
LSU00135650,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135650_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135650_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135650_5_WR.JPG
LSU00135651,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135651_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135651_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135651_5_WR.JPG
LSU00135652,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135652_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135652_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135652_5_WR.JPG
LSU00135653,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135653_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135653_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135653_5_WR.JPG
LSU00135654,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135654_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135654_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135654_5_WR.JPG
LSU00135655,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135655_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135655_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135655_5_WR.JPG
LSU00135656,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135656_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135656_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135656_5_WR.JPG
LSU00135657,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135657_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135657_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135657_5_WR.JPG
